job_title,clean_job_title
Accountant/ Financier,"['accountant', 'financier']"
Field Social Worker,"['field', 'social', 'worker']"
Outreach Coordinator/ Advocacy Specialist,"['outreach', 'coordinator', 'advocacy', 'specialist']"
Senior Program Associate,"['senior', 'program', 'associate']"
Senior Electronic/ Software Engineer,"['senior', 'electronic', 'software', 'engineer']"
Field Team Leader,"['field', 'team', 'leader']"
Human Resources Intern,"['human', 'resource', 'intern']"
Senior Software Engineers - Java,"['senior', 'software', 'engineer', 'java']"
Cardiologist,['cardiologist']
AUDITOR,['auditor']
Loan Specialist,"['loan', 'specialist']"
Chief Accountant,"['chief', 'accountant']"
Assistant for the AWP (Annual Work Plan),"['assistant', 'awp', 'annual', 'work', 'plan']"
PHP Programmer,"['php', 'programmer']"
Sales Director,"['sale', 'director']"
ASP.NET Software Developers,"['asp', 'net', 'software', 'developer']"
Translator,['translator']
Receptionist,['receptionist']
.NET Developer,"['net', 'developer']"
.NET Solution Developer/ Project Manager,"['net', 'solution', 'developer', 'project', 'manager']"
Medical Doctor,"['medical', 'doctor']"
Commercial Director,"['commercial', 'director']"
Press Secretary,"['press', 'secretary']"
Senior Software Developer C++/C#,"['senior', 'software', 'developer', 'c', 'c']"
Administrative Volunteers,"['administrative', 'volunteer']"
Business Analyst with Health care Domain,"['business', 'analyst', 'health', 'care', 'domain']"
VB.Net/C#/SQL Server Programmer,"['vb', 'net', 'c', 'sql', 'server', 'programmer']"
Negotiator,['negotiator']
Small and Medium Business Programs Developer,"['small', 'medium', 'business', 'program', 'developer']"
Software Developer,"['software', 'developer']"
Web Designer,"['web', 'designer']"
Small and Medium Business Programs Developer,"['small', 'medium', 'business', 'program', 'developer']"
Resource Center Intern,"['resource', 'center', 'intern']"
Chief Accountant,"['chief', 'accountant']"
Arabic Language Translator/ Interpreter,"['arabic', 'language', 'translator', 'interpreter']"
Russian Language Translator/ Interpreter,"['russian', 'language', 'translator', 'interpreter']"
English Language Translator/ Interpreter,"['english', 'language', 'translator', 'interpreter']"
Chief Cook,"['chief', 'cook']"
Assistant to Director,"['assistant', 'director']"
Database Architect/ Developer,"['database', 'architect', 'developer']"
Accountant,['accountant']
Assistant to Director,"['assistant', 'director']"
Senior Financial Officer/ Senior Accountant,"['senior', 'financial', 'officer', 'senior', 'accountant']"
Grants Manager,"['grant', 'manager']"
Program Assistant,"['program', 'assistant']"
Advocacy Specialist,"['advocacy', 'specialist']"
Organizational Development & Training Specialist,"['organizational', 'development', 'training', 'specialist']"
Monitoring and Evaluation Specialist,"['monitor', 'evaluation', 'specialist']"
Furniture Designer,"['furniture', 'designer']"
Water/ Wastewater Works Monitoring Team Leader,"['water', 'wastewater', 'work', 'monitor', 'team', 'leader']"
Secretary/ Translator,"['secretary', 'translator']"
Software Developer,"['software', 'developer']"
Auditor of Financial Audit Unit,"['auditor', 'financial', 'audit', 'unit']"
Customer Relations Manager/ Representative in Armenia,"['customer', 'relation', 'manager', 'representative', 'armenia']"
Auditor of Information Technologies Audit Unit,"['auditor', 'information', 'technology', 'audit', 'unit']"
Auditor of Operational Audit Unit,"['auditor', 'operational', 'audit', 'unit']"
Education Consultant,"['education', 'consultant']"
Sales Advisor,"['sale', 'advisor']"
Sales Assitant/ Manager,"['sale', 'assitant', 'manager']"
English Language Courses,"['english', 'language', 'course']"
Alpinist/ Technician,"['alpinist', 'technician']"
Sales & Marketing Director,"['sale', 'market', 'director']"
Assistant to the Director,"['assistant', 'director']"
Telecommunications Engineer,"['telecommunication', 'engineer']"
Developer,['developer']
Website Moderator,"['website', 'moderator']"
Bell Boy (Doorman),"['bell', 'boy', 'doorman']"
Product Specialists - Medical Devices and Diagnostics (MD&D),"['product', 'specialist', 'medical', 'device', 'diagnostics', 'md']"
Commissary Assistant,"['commissary', 'assistant']"
Resource/ Software Development Director,"['resource', 'software', 'development', 'director']"
Medical Representative in Armenia,"['medical', 'representative', 'armenia']"
Software QA Engineer,"['software', 'qa', 'engineer']"
QA Specialist,"['qa', 'specialist']"
Receptionist,['receptionist']
Developer 1,['developer']
Developer 2,['developer']
Chief Accountant,"['chief', 'accountant']"
Graphic Designer for Art Design Department,"['graphic', 'designer', 'art', 'design', 'department']"
English Language Tutor,"['english', 'language', 'tutor']"
Hardware Repair Specialist/ Electrician,"['hardware', 'repair', 'specialist', 'electrician']"
English  Language Translator,"['english', 'language', 'translator']"
Senior Evaluation Officer,"['senior', 'evaluation', 'officer']"
News Reporter,"['news', 'reporter']"
Assistant to Medical Coordinator,"['assistant', 'medical', 'coordinator']"
Salesperson,['salesperson']
After Sales Technician,"['sale', 'technician']"
Secretary,['secretary']
Project Manager,"['project', 'manager']"
Accountant,['accountant']
Journalist,['journalist']
English Language Translator/ Interpreter,"['english', 'language', 'translator', 'interpreter']"
Accountant,['accountant']
Translator/ Interpreter,"['translator', 'interpreter']"
Marketing (Agribusiness Development) Manager,"['marketing', 'agribusiness', 'development', 'manager']"
Senior Software Developer C++/C#,"['senior', 'software', 'developer', 'c', 'c']"
Graphic Designer,"['graphic', 'designer']"
Computer Hardware Engineer/ System Administrator,"['computer', 'hardware', 'engineer', 'system', 'administrator']"
Accountant,['accountant']
Tour Manager,"['tour', 'manager']"
AutoCad Teacher,"['autocad', 'teacher']"
Human Resources Assistant,"['human', 'resource', 'assistant']"
Programmer,['programmer']
Financial Advisor,"['financial', 'advisor']"
Medical Representative,"['medical', 'representative']"
Merchandiser,['merchandiser']
Sales & Marketing Director,"['sale', 'market', 'director']"
Outdoor Signs Maker,"['outdoor', 'sign', 'maker']"
Web Designer,"['web', 'designer']"
"Project Officer (Logistics, Procurement, Driver)","['project', 'officer', 'logistics', 'procurement', 'driver']"
Resource Centre Manager,"['resource', 'centre', 'manager']"
Medical Representative,"['medical', 'representative']"
Banking Specialist/ Economist,"['bank', 'specialist', 'economist']"
Tour Operator for the Outgoing Department,"['tour', 'operator', 'outgo', 'department']"
Web Designer,"['web', 'designer']"
Legal Assistant,"['legal', 'assistant']"
Executive Director,"['executive', 'director']"
Civil/ Srtuctural Engineer,"['civil', 'srtuctural', 'engineer']"
Banking Methodology Specialist,"['bank', 'methodology', 'specialist']"
Claim Adjuster,"['claim', 'adjuster']"
Intern for Rural Development Programs,"['intern', 'rural', 'development', 'program']"
Communications Assistant,"['communication', 'assistant']"
Intern for Credit Department,"['intern', 'credit', 'department']"
Intern for Marketing and Agribusiness Department,"['intern', 'marketing', 'agribusiness', 'department']"
Intern for Administrative Services Department/ Computer Network,"['intern', 'administrative', 'service', 'department', 'computer', 'network']"
Tour Manager,"['tour', 'manager']"
Office Manager,"['office', 'manager']"
Announcements Moderator,"['announcement', 'moderator']"
Senior Communication Specialist,"['senior', 'communication', 'specialist']"
Software Developer,"['software', 'developer']"
Gender Specialist,"['gender', 'specialist']"
Community Watershed Management Component Coordinator,"['community', 'watershed', 'management', 'component', 'coordinator']"
Accountant,['accountant']
Social Worker,"['social', 'worker']"
Bank Advisor. MSME Finance in Armenia,"['bank', 'advisor', 'msme', 'finance', 'armenia']"
Driver/ Logistics Assistant,"['driver', 'logistics', 'assistant']"
Administrative Assistant,"['administrative', 'assistant']"
Translator,['translator']
Programme Coordinator/ Head of Office,"['programme', 'coordinator', 'head', 'office']"
Health Education Specialist - Armenia Primary Health Care Reform,"['health', 'education', 'specialist', 'armenia', 'primary', 'health', 'care', 'reform']"
Public Education Specialist - Armenia Primary Health Care Reform,"['public', 'education', 'specialist', 'armenia', 'primary', 'health', 'care', 'reform']"
Accountant,['accountant']
Rural Lending Specialist (the Head of Rural Credit Department),"['rural', 'lending', 'specialist', 'head', 'rural', 'credit', 'department']"
Chief Financial Officer,"['chief', 'financial', 'officer']"
Program Specialist - South Caucasus Water Program,"['program', 'specialist', 'south', 'caucasus', 'water', 'program']"
Information Officer,"['information', 'officer']"
Environmental Officer,"['environmental', 'officer']"
System/ Network Administrator,"['system', 'network', 'administrator']"
Banking Analyst,"['banking', 'analyst']"
Procurement Officer,"['procurement', 'officer']"
Stores Officer,"['store', 'officer']"
Financial/ Administrative Manager,"['financial', 'administrative', 'manager']"
Lawyer,['lawyer']
Software Developer,"['software', 'developer']"
Junior .Net Developer,"['junior', 'net', 'developer']"
Veterinarian Specialist,"['veterinarian', 'specialist']"
Law Specialist,"['law', 'specialist']"
Local Credit Experts,"['local', 'credit', 'expert']"
Internal Audit Expert,"['internal', 'audit', 'expert']"
Interpreter/ Translator,"['interpreter', 'translator']"
Network Administrator,"['network', 'administrator']"
Help Desk Officer,"['help', 'desk', 'officer']"
Executive Manager,"['executive', 'manager']"
Program Accountant,"['program', 'accountant']"
Auditor,['auditor']
Tax Assistant,"['tax', 'assistant']"
PR Specialist,"['pr', 'specialist']"
Administrative Assistant,"['administrative', 'assistant']"
Accountant,['accountant']
Senior Software Developer C++/ C#,"['senior', 'software', 'developer', 'c', 'c']"
Software Developer,"['software', 'developer']"
Policy and Legal Advisor,"['policy', 'legal', 'advisor']"
Agronomist,['agronomist']
Public Relations Director,"['public', 'relation', 'director']"
Receptionist,['receptionist']
Senior Financial Analyst,"['senior', 'financial', 'analyst']"
Marketing Manager,"['marketing', 'manager']"
Human Resources Manager,"['human', 'resource', 'manager']"
Head of Caucasus Studies Department,"['head', 'caucasus', 'study', 'department']"
Local Expert/ Project Manager,"['local', 'expert', 'project', 'manager']"
Audit Assistant (trainee),"['audit', 'assistant', 'trainee']"
Shop Assistant,"['shop', 'assistant']"
Software Engineer,"['software', 'engineer']"
American Studies Institutes 2006,"['american', 'study', 'institute']"
Social Security Expert,"['social', 'security', 'expert']"
Procurement Specialist,"['procurement', 'specialist']"
Software Developer,"['software', 'developer']"
Office Manager,"['office', 'manager']"
Tourism Manager,"['tourism', 'manager']"
Program/ Administrative Volunteer,"['program', 'administrative', 'volunteer']"
Web Developer,"['web', 'developer']"
Unix/ Oracle Administrator Assistant,"['unix', 'oracle', 'administrator', 'assistant']"
Russian - Armenian Language Translator/ Issuing Editor,"['russian', 'armenian', 'language', 'translator', 'issue', 'editor']"
Analyst,['analyst']
Business Trainer on Management,"['business', 'trainer', 'management']"
Marketing Manager,"['marketing', 'manager']"
Finance/ Banking Consultants,"['finance', 'banking', 'consultant']"
Country Manager,"['country', 'manager']"
Lawyer/ Legal Advisor,"['lawyer', 'legal', 'advisor']"
Clinical Psychologist,"['clinical', 'psychologist']"
Finance Manager,"['finance', 'manager']"
Assistant/ Translator,"['assistant', 'translator']"
Chief Financial Officer,"['chief', 'financial', 'officer']"
Lawyer/ Legal Advisor,"['lawyer', 'legal', 'advisor']"
"Social State: Concept, Armenian Reality and Perspectives","['social', 'state', 'concept', 'armenian', 'reality', 'perspective']"
Business Development and Sales Manager,"['business', 'development', 'sale', 'manager']"
Translator/ Interpreter,"['translator', 'interpreter']"
Finance Analyst,"['finance', 'analyst']"
Branch Manager,"['branch', 'manager']"
Assistant for Order/ Sales/ Procurement Department,"['assistant', 'order', 'sale', 'procurement', 'department']"
Grants Manager,"['grant', 'manager']"
Financial Manager,"['financial', 'manager']"
Coordinator of Urban Heating Project,"['coordinator', 'urban', 'heating', 'project']"
Sales/ Distribution Agent,"['sale', 'distribution', 'agent']"
Business Consultant,"['business', 'consultant']"
Software Configuration Management (CM) Engineer,"['software', 'configuration', 'management', 'cm', 'engineer']"
Software QA Engineer,"['software', 'qa', 'engineer']"
Business Consultant,"['business', 'consultant']"
English Language Courses,"['english', 'language', 'course']"
Clinical Psychologist,"['clinical', 'psychologist']"
Tour Manager,"['tour', 'manager']"
Software Developer,"['software', 'developer']"
Administrative Volunteer,"['administrative', 'volunteer']"
Auditor,['auditor']
Accountant,['accountant']
Data Coordinator,"['data', 'coordinator']"
Translator-Referent,"['translator', 'referent']"
"Senior Manager, Test & Repair","['senior', 'manager', 'test', 'repair']"
Salesman,['salesman']
ET&R Engineer,"['et', 'r', 'engineer']"
Loan Officer,"['loan', 'officer']"
Chief Accountant,"['chief', 'accountant']"
Programmer,['programmer']
Operator,['operator']
Finance Specialist,"['finance', 'specialist']"
Area Manager,"['area', 'manager']"
Merchandiser,['merchandiser']
Legal Adviser,"['legal', 'adviser']"
English Language Interpreter/ Translator,"['english', 'language', 'interpreter', 'translator']"
Administrative Assistant to the Director of Engineering,"['administrative', 'assistant', 'director', 'engineering']"
Financial Officer,"['financial', 'officer']"
Head of Office/ Program Coordinator,"['head', 'office', 'program', 'coordinator']"
Advertising Agent,"['advertising', 'agent']"
Acquiring and Chargeback Clerk,"['acquire', 'chargeback', 'clerk']"
Financial Control Taxation Report Clerk,"['financial', 'control', 'taxation', 'report', 'clerk']"
Computer Programmer,"['computer', 'programmer']"
Visual Basic Software Developer,"['visual', 'basic', 'software', 'developer']"
Senior Software Developer C++/ C#,"['senior', 'software', 'developer', 'c', 'c']"
Social Worker,"['social', 'worker']"
Medical Translator/ Interpreter,"['medical', 'translator', 'interpreter']"
Sustainability Officer,"['sustainability', 'officer']"
Travel Agent,"['travel', 'agent']"
J2EE Software Engineer/ Developer,"['j', 'ee', 'software', 'engineer', 'developer']"
Medical Delegate,"['medical', 'delegate']"
Safety & Environmental Officer,"['safety', 'environmental', 'officer']"
Sales & Marketing Director,"['sale', 'market', 'director']"
"Group Leader, Quality Control","['group', 'leader', 'quality', 'control']"
Office/ Telephone Specialist,"['office', 'telephone', 'specialist']"
Graphic Designer,"['graphic', 'designer']"
Supervisor,['supervisor']
Java Developer,"['java', 'developer']"
Logistics Driver,"['logistics', 'driver']"
Finance Officer/ Chief Accountant,"['finance', 'officer', 'chief', 'accountant']"
Assistant/ Secretary,"['assistant', 'secretary']"
Driver,['driver']
Programmer/ Developer,"['programmer', 'developer']"
Financial Sector Expert,"['financial', 'sector', 'expert']"
Architect/ Designer,"['architect', 'designer']"
Director's Assistant,"['director', 'assistant']"
Receptionist,['receptionist']
Pharmacist,['pharmacist']
Web Designer,"['web', 'designer']"
PHP Programmer,"['php', 'programmer']"
Search Engine Optimization Specialists,"['search', 'engine', 'optimization', 'specialist']"
Oracle Database  Assistant  Administrator,"['oracle', 'database', 'assistant', 'administrator']"
Accountant,['accountant']
IT Expert,['expert']
Lecturer of Political Science,"['lecturer', 'political', 'science']"
Lawyer,['lawyer']
Software Engineer,"['software', 'engineer']"
Accountant,['accountant']
Newsroom Assistant/ Receptionist,"['newsroom', 'assistant', 'receptionist']"
Technical Support Specialist,"['technical', 'support', 'specialist']"
Chief Accountant,"['chief', 'accountant']"
Finance Analyst,"['finance', 'analyst']"
Receptionist,['receptionist']
Sales and Reservations Agent,"['sale', 'reservation', 'agent']"
Cashier/ Accountant,"['cashier', 'accountant']"
Real Estate Agent,"['real', 'estate', 'agent']"
Junior Developer,"['junior', 'developer']"
Production Manager,"['production', 'manager']"
Translator/ Interpreter,"['translator', 'interpreter']"
Handbag Modelling-Designer,"['handbag', 'modelling', 'designer']"
Management Information System Manager,"['management', 'information', 'system', 'manager']"
Program Consultant,"['program', 'consultant']"
WostAYN Program,"['wostayn', 'program']"
Quality Engineer,"['quality', 'engineer']"
Secretary/ Assistant to Director,"['secretary', 'assistant', 'director']"
Publicity Agent,"['publicity', 'agent']"
Property/ Security Manager,"['property', 'security', 'manager']"
Analyst Programme 2006 (Work & Study Program),"['analyst', 'programme', 'work', 'study', 'program']"
Marketing and Operation Officer,"['marketing', 'operation', 'officer']"
Administrative Assistant,"['administrative', 'assistant']"
Software Developers,"['software', 'developer']"
National Program Officer,"['national', 'program', 'officer']"
Finance Assistant,"['finance', 'assistant']"
Staff Attorney,"['staff', 'attorney']"
Lawyer,['lawyer']
Psychologist,['psychologist']
Project Coordinator,"['project', 'coordinator']"
Office Manager,"['office', 'manager']"
Accountant,['accountant']
Accountant,['accountant']
Sales & Technical Support Specialist,"['sale', 'technical', 'support', 'specialist']"
Lawyer,['lawyer']
Expert  Human Rights Aspects of Human Trafficking for the,"['expert', 'human', 'right', 'aspect', 'human', 'traffic']"
Annual Work Plan Coordinator on Multisectoral responses to,"['annual', 'work', 'plan', 'coordinator', 'multisectoral', 'response']"
Annual Work Plan Coordinator on Multisectoral responses to,"['annual', 'work', 'plan', 'coordinator', 'multisectoral', 'response']"
LAN Manager and Web Developer,"['lan', 'manager', 'web', 'developer']"
Expert  Law Enforcement/Legal Aspects of Human Trafficking for,"['expert', 'law', 'enforcement', 'legal', 'aspect', 'human', 'traffic']"
Software Development Director,"['software', 'development', 'director']"
Cashier,['cashier']
Accountant,['accountant']
Assistant to International Marketing Manager,"['assistant', 'international', 'marketing', 'manager']"
Designer,['designer']
Local Expert,"['local', 'expert']"
In-house  Attorney,"['house', 'attorney']"
VoIP engineer,"['voip', 'engineer']"
Statistical Analysis Researcher,"['statistical', 'analysis', 'researcher']"
IEC Supervisor,"['iec', 'supervisor']"
Secretary,['secretary']
Project Monitoring Doctor,"['project', 'monitoring', 'doctor']"
Accountant,['accountant']
Advertising Agent,"['advertising', 'agent']"
Budget Manager,"['budget', 'manager']"
HR Manager,"['hr', 'manager']"
Business Development Assistant,"['business', 'development', 'assistant']"
Project Coordinator,"['project', 'coordinator']"
Technical Support Technician,"['technical', 'support', 'technician']"
Business Development Manager,"['business', 'development', 'manager']"
UNIX Systems Administrator,"['unix', 'system', 'administrator']"
Field Administrator,"['field', 'administrator']"
Shop Manager,"['shop', 'manager']"
Sales Assistant,"['sale', 'assistant']"
Networks Administrator,"['network', 'administrator']"
Systems Administrator,"['system', 'administrator']"
Roaming Operations Engineer,"['roam', 'operation', 'engineer']"
Value Added Services Engineer,"['value', 'add', 'service', 'engineer']"
PR and Media Specialist,"['pr', 'medium', 'specialist']"
Internal Communication Specialist,"['internal', 'communication', 'specialist']"
Support Engineer,"['support', 'engineer']"
Transmission Network Planning Engineer,"['transmission', 'network', 'planning', 'engineer']"
Data/ OSS Engineer,"['data', 'os', 'engineer']"
Billing Applications Administrator,"['billing', 'application', 'administrator']"
Radio Network Planning Engineer,"['radio', 'network', 'planning', 'engineer']"
Marketing Manager,"['marketing', 'manager']"
NSS/ BSS Engineer,"['nss', 'bs', 'engineer']"
Program Associate,"['program', 'associate']"
Showrooms Manager,"['showroom', 'manager']"
Database/ Software Architect,"['database', 'software', 'architect']"
Sales Consultant,"['sale', 'consultant']"
Administrative Assistant,"['administrative', 'assistant']"
44th Graduate Study Programme,"['th', 'graduate', 'study', 'programme']"
Senior Specialist,"['senior', 'specialist']"
Portfolio Assistant for Environmental Governance Portfolio,"['portfolio', 'assistant', 'environmental', 'governance', 'portfolio']"
Negotiatior,['negotiatior']
Chief Executive Officer,"['chief', 'executive', 'officer']"
Sales Assistant,"['sale', 'assistant']"
Software Developer - Web Services,"['software', 'developer', 'web', 'service']"
Software Developer - SQL Server,"['software', 'developer', 'sql', 'server']"
Graphics Designer,"['graphic', 'designer']"
Agriculture Credit Department Manager,"['agriculture', 'credit', 'department', 'manager']"
Agriculture Credit Specialist,"['agriculture', 'credit', 'specialist']"
MCA Armenia Chief Executive Officer,"['mca', 'armenia', 'chief', 'executive', 'officer']"
Deputy Medical Coordinator,"['deputy', 'medical', 'coordinator']"
Tester/ Quality Assurance Engineer,"['tester', 'quality', 'assurance', 'engineer']"
Engineering Translator/ Interpreter,"['engineering', 'translator', 'interpreter']"
Marketing Specialist,"['marketing', 'specialist']"
Executive Assistant,"['executive', 'assistant']"
Program Clerk,"['program', 'clerk']"
Project Assistant,"['project', 'assistant']"
Senior Software Developer C++/ C#,"['senior', 'software', 'developer', 'c', 'c']"
Chief Accountant,"['chief', 'accountant']"
Finance Assistant,"['finance', 'assistant']"
Software Developer,"['software', 'developer']"
Project Engineer,"['project', 'engineer']"
Electronic Engineer,"['electronic', 'engineer']"
Sustainable Social Assistance Specialist/ Manager,"['sustainable', 'social', 'assistance', 'specialist', 'manager']"
IT Specialist,['specialist']
Electrical Instumintation Engineer,"['electrical', 'instumintation', 'engineer']"
Geologist,['geologist']
HR Specialist,"['hr', 'specialist']"
Civil Engineer,"['civil', 'engineer']"
Flotation and Enrichment Specialist,"['flotation', 'enrichment', 'specialist']"
Associate Banker,"['associate', 'banker']"
Auto Mechanic,"['auto', 'mechanic']"
English Language Teacher,"['english', 'language', 'teacher']"
Administrative Assistant,"['administrative', 'assistant']"
Administrative Assistant,"['administrative', 'assistant']"
Credit Specialist,"['credit', 'specialist']"
Deputy Country Director,"['deputy', 'country', 'director']"
Engineer,['engineer']
Technical Manager,"['technical', 'manager']"
Receptionist/ Junior Administrative Assistant,"['receptionist', 'junior', 'administrative', 'assistant']"
Supply Manager,"['supply', 'manager']"
Translator,['translator']
Receptionist,['receptionist']
Driver,['driver']
Associate Banker,"['associate', 'banker']"
Data Analyst,"['data', 'analyst']"
Customer Operations Manager,"['customer', 'operation', 'manager']"
Administrative Assistant,"['administrative', 'assistant']"
Deputy Chief of Party,"['deputy', 'chief', 'party']"
Translator/ Interpreter,"['translator', 'interpreter']"
Management Accountant,"['management', 'accountant']"
Credit Manager,"['credit', 'manager']"
Export/ Import Manager,"['export', 'import', 'manager']"
Consultant,['consultant']
Customs Officer/ Expediter,"['custom', 'officer', 'expediter']"
Software Projects Specialist,"['software', 'project', 'specialist']"
Country Programme Coordinator for Vaccine Preventable Diseases,"['country', 'programme', 'coordinator', 'vaccine', 'preventable', 'disease']"
Software Developer,"['software', 'developer']"
Receptionist/ Administrative Assistant,"['receptionist', 'administrative', 'assistant']"
Graphics Designer,"['graphic', 'designer']"
Key Account Manager,"['key', 'account', 'manager']"
Administrator Domain Processing,"['administrator', 'domain', 'processing']"
Showrooms Manager,"['showroom', 'manager']"
Accountant,['accountant']
"Assistant of the Finance, Administration and Resettlement Unit","['assistant', 'finance', 'administration', 'resettlement', 'unit']"
Software Developers,"['software', 'developer']"
Compensation and Benefits Specialist,"['compensation', 'benefit', 'specialist']"
Business Analyst,"['business', 'analyst']"
Costing Analysis Division Head,"['cost', 'analysis', 'division', 'head']"
Specialist on Reporting in IFRS and USGAAP,"['specialist', 'report', 'ifrs', 'usgaap']"
Marketing Specialist,"['marketing', 'specialist']"
Task Manager/ Chief Engineer,"['task', 'manager', 'chief', 'engineer']"
Advertising and Marketing Manager,"['advertise', 'marketing', 'manager']"
Environmental Education Technical Coordinator for Pre-Service,"['environmental', 'education', 'technical', 'coordinator', 'pre', 'service']"
TEFL Technical Coordinator for Pre-Service Training,"['tefl', 'technical', 'coordinator', 'pre', 'service', 'training']"
Junior Java Developer,"['junior', 'java', 'developer']"
Language and Cultural Facilitator (LCF) for Pre-Service Training,"['language', 'cultural', 'facilitator', 'lcf', 'pre', 'service', 'training']"
Real Estate Agent,"['real', 'estate', 'agent']"
Administrative Coordinator/ Pre Service Training,"['administrative', 'coordinator', 'pre', 'service', 'training']"
Director,['director']
IT Officer,['officer']
Showrooms Salesman,"['showroom', 'salesman']"
Sales and Marketing Manager,"['sale', 'marketing', 'manager']"
Women's Leadership Development,"['woman', 'leadership', 'development']"
English Language Interpreter/ Translator,"['english', 'language', 'interpreter', 'translator']"
Senior .NET Developer,"['senior', 'net', 'developer']"
Receptionist/ Office Administrator,"['receptionist', 'office', 'administrator']"
Insurance Specialist,"['insurance', 'specialist']"
Software Developer,"['software', 'developer']"
Software QA Engineer,"['software', 'qa', 'engineer']"
MIS/ Database/ IT Specialist,"['mis', 'database', 'specialist']"
Software Engineer,"['software', 'engineer']"
Shop/ Sales Manager,"['shop', 'sale', 'manager']"
Lawyer,['lawyer']
Internal Auditor,"['internal', 'auditor']"
Legal Adviser,"['legal', 'adviser']"
Lead Software Developer,"['lead', 'software', 'developer']"
Software Engineer,"['software', 'engineer']"
Senior Software Developer,"['senior', 'software', 'developer']"
Technical Writer/ Patent Attorney,"['technical', 'writer', 'patent', 'attorney']"
Director Assistant,"['director', 'assistant']"
Translator,['translator']
Credit Analyst,"['credit', 'analyst']"
Relationship Manager,"['relationship', 'manager']"
Receptionist,['receptionist']
Chief Accountant,"['chief', 'accountant']"
Receptionist,['receptionist']
Showroom Coordinator,"['showroom', 'coordinator']"
Chief Accountant,"['chief', 'accountant']"
Real Estate Agent,"['real', 'estate', 'agent']"
Legal Consultant/ Lawyer,"['legal', 'consultant', 'lawyer']"
Breathing & Body Exercises Trainer,"['breathe', 'body', 'exercise', 'trainer']"
Track and Trace Clerk,"['track', 'trace', 'clerk']"
Automated Test Developer,"['automate', 'test', 'developer']"
Automated Test Engineer,"['automate', 'test', 'engineer']"
Administrative Assistant,"['administrative', 'assistant']"
Designer,['designer']
Senior Engineer,"['senior', 'engineer']"
Open Enrollment Advisor/ Specialist,"['open', 'enrollment', 'advisor', 'specialist']"
Computer Diagnostics and Electronics Specialists,"['computer', 'diagnostics', 'electronics', 'specialist']"
Legal Consultant/  Lawyer,"['legal', 'consultant', 'lawyer']"
Project Manager,"['project', 'manager']"
Cook,['cook']
Quality Assurance Manager,"['quality', 'assurance', 'manager']"
Graphic Designer,"['graphic', 'designer']"
Senior Logic Designer,"['senior', 'logic', 'designer']"
Airport Customer Service Agent,"['airport', 'customer', 'service', 'agent']"
Software Engineer,"['software', 'engineer']"
Quality Assurance Engineer,"['quality', 'assurance', 'engineer']"
Analyst,['analyst']
Technical Support Engineer,"['technical', 'support', 'engineer']"
Lending Officer,"['lend', 'officer']"
Loan Officer,"['loan', 'officer']"
Economist,['economist']
Marketing Coordinator,"['marketing', 'coordinator']"
Project Assistant,"['project', 'assistant']"
National Coordinator,"['national', 'coordinator']"
Financier/ Chief Accountant,"['financier', 'chief', 'accountant']"
Hotel Administrator,"['hotel', 'administrator']"
Executive Director,"['executive', 'director']"
Hotel Manager,"['hotel', 'manager']"
Programmer,['programmer']
Senior Software Developer C++/ C#,"['senior', 'software', 'developer', 'c', 'c']"
Civil Defense Coordinator,"['civil', 'defense', 'coordinator']"
Civil Defense Specialist,"['civil', 'defense', 'specialist']"
Waiter/ Waitress,"['waiter', 'waitress']"
Senior Executive - Liaison,"['senior', 'executive', 'liaison']"
Library Circulation Desk Assistant,"['library', 'circulation', 'desk', 'assistant']"
Software Engineer,"['software', 'engineer']"
HW Engineer for Digital Design,"['hw', 'engineer', 'digital', 'design']"
Energy Specialist,"['energy', 'specialist']"
Director of  Finance,"['director', 'finance']"
Secretary to CEO,"['secretary', 'ceo']"
Memory Design Senior Manager,"['memory', 'design', 'senior', 'manager']"
Layout Design Engineer,"['layout', 'design', 'engineer']"
Administrative Assistant,"['administrative', 'assistant']"
Senior Circuit Design Engineer,"['senior', 'circuit', 'design', 'engineer']"
Accountant,['accountant']
Sales Development Coordinator,"['sale', 'development', 'coordinator']"
Visual Basic Software Developer,"['visual', 'basic', 'software', 'developer']"
Accountant,['accountant']
Financial and Administrative Officer,"['financial', 'administrative', 'officer']"
Medical Doctor,"['medical', 'doctor']"
Software Engineer,"['software', 'engineer']"
Air Ticket Cashier,"['air', 'ticket', 'cashier']"
Senior Executive - Labor,"['senior', 'executive', 'labor']"
An American MBA in the European Union,"['american', 'mba', 'european', 'union']"
Technical Writer,"['technical', 'writer']"
Customer Services Clerk,"['customer', 'service', 'clerk']"
Marketing Coordinator,"['marketing', 'coordinator']"
Customer Relations and Sales Manager,"['customer', 'relation', 'sale', 'manager']"
Medical Representative,"['medical', 'representative']"
Environmental Officer,"['environmental', 'officer']"
Cultural/ Art Programs Manager,"['cultural', 'art', 'program', 'manager']"
Achitect-Designer,"['achitect', 'designer']"
Assistant Underwriter,"['assistant', 'underwriter']"
Country Action Coordinator,"['country', 'action', 'coordinator']"
Outreacher/ Counselor,"['outreacher', 'counselor']"
Software Developer-ASP.NET,"['software', 'developer', 'asp', 'net']"
Sales Manager,"['sale', 'manager']"
Tour Manager,"['tour', 'manager']"
MIS Specialist,"['mi', 'specialist']"
Office Manager,"['office', 'manager']"
Network Administrator,"['network', 'administrator']"
Sales Agent,"['sale', 'agent']"
