job_title,clean_job_title
CPCO Officer,"['cpco', 'officer']"
Project Officer,"['project', 'officer']"
Intern,['intern']
Game Developer Specialist,"['game', 'developer', 'specialist']"
Executive Director,"['executive', 'director']"
Corporate Director,"['corporate', 'director']"
IT Teacher  (full time),"['teacher', 'full', 'time']"
"Marketing Specialist, Commodity Export","['marketing', 'specialist', 'commodity', 'export']"
"Assistant to Director, Translator/ Interpreter","['assistant', 'director', 'translator', 'interpreter']"
IT Specialist  (full time),"['specialist', 'full', 'time']"
NGO Training on the Framework Convention for the Protection of,"['ngo', 'training', 'framework', 'convention', 'protection']"
Accountant/ Financial Officer,"['accountant', 'financial', 'officer']"
"Community Development, Capacity Building and Conflict","['community', 'development', 'capacity', 'building', 'conflict']"
Web Designer,"['web', 'designer']"
Global Supplementary Grant Program,"['global', 'supplementary', 'grant', 'program']"
Small Grants Pilot Projects on Human Rights Education,"['small', 'grant', 'pilot', 'project', 'human', 'right', 'education']"
Administrative and Programmatic Intern,"['administrative', 'programmatic', 'intern']"
Financial Manager,"['financial', 'manager']"
Administrative and Programmatic Intern,"['administrative', 'programmatic', 'intern']"
Finance Assistant/ Accountant,"['finance', 'assistant', 'accountant']"
Engineer/ Supervisor for the Global Fund Project,"['engineer', 'supervisor', 'global', 'fund', 'project']"
Project Development Officer,"['project', 'development', 'officer']"
Project Deputy Director,"['project', 'deputy', 'director']"
Sales & Marketing Specialist,"['sale', 'market', 'specialist']"
Loan Promoter,"['loan', 'promoter']"
Executive Assistant (part time),"['executive', 'assistant', 'part', 'time']"
Senior Database Administrator,"['senior', 'database', 'administrator']"
International Banking and Financial Sector Expert,"['international', 'banking', 'financial', 'sector', 'expert']"
Privatization Expert,"['privatization', 'expert']"
Pensions and Social Insurance Expert,"['pension', 'social', 'insurance', 'expert']"
Country Director,"['country', 'director']"
Leather and Textile Industry Expert,"['leather', 'textile', 'industry', 'expert']"
Armenian Language & Cross-Cultural Facilitator (LCF) (short,"['armenian', 'language', 'cross', 'cultural', 'facilitator', 'lcf', 'short']"
Environmental Education (EE) Technical Coordinator (short,"['environmental', 'education', 'ee', 'technical', 'coordinator', 'short']"
BECD Technical Coordinator (short tirm) - Pre-Service,"['becd', 'technical', 'coordinator', 'short', 'tirm', 'pre', 'service']"
Community Health Education (CHE) Technical Coordinator,"['community', 'health', 'education', 'che', 'technical', 'coordinator']"
TEFL Technical Coordinator (short tirm) - Pre-Service,"['tefl', 'technical', 'coordinator', 'short', 'tirm', 'pre', 'service']"
Intern,['intern']
SalesMan - Advisor,"['salesman', 'advisor']"
Sales Technical Adviser,"['sale', 'technical', 'adviser']"
Sales Clerk/ Referent,"['sale', 'clerk', 'referent']"
Introduction to Community Development and Culture,"['introduction', 'community', 'development', 'culture']"
Administrative Assistant,"['administrative', 'assistant']"
Women PeaceMakers Program,"['woman', 'peacemaker', 'program']"
Project Associate,"['project', 'associate']"
Chief of Party,"['chief', 'party']"
Latin America Manager,"['latin', 'america', 'manager']"
Scriptwriters,['scriptwriter']
Deputy Director,"['deputy', 'director']"
Expatriate Microfinance Consultant,"['expatriate', 'microfinance', 'consultant']"
Program Officer,"['program', 'officer']"
Manager (Traffic/ Account),"['manager', 'traffic', 'account']"
Grants Manager,"['grant', 'manager']"
Project Assistant,"['project', 'assistant']"
Finance Manager/Accountant,"['finance', 'manager', 'accountant']"
Artist - Designer,"['artist', 'designer']"
"Secretary, FSN-5; FP-9*","['secretary', 'fsn', 'fp']"
Interviewers for Market Research (6 positions) - Short term,"['interviewer', 'market', 'research', 'position', 'short', 'term']"
Information Education Communication (IEC) Assistant,"['information', 'education', 'communication', 'iec', 'assistant']"
Refurbish center manager,"['refurbish', 'center', 'manager']"
Manager,['manager']
European Team Leader for Health Care Reform Project,"['european', 'team', 'leader', 'health', 'care', 'reform', 'project']"
Communications Manager,"['communication', 'manager']"
Technical Security Engineer,"['technical', 'security', 'engineer']"
Translator (general),"['translator', 'general']"
Secretary/ Referent,"['secretary', 'referent']"
Administrative Officer,"['administrative', 'officer']"
Translator (Telecommunications/ Regulatory/ IT),"['translator', 'telecommunication', 'regulatory']"
Junior Business Consultant,"['junior', 'business', 'consultant']"
Senior Software Developer (several positions),"['senior', 'software', 'developer', 'several', 'position']"
Administrative Officer,"['administrative', 'officer']"
Secretary/ Referent,"['secretary', 'referent']"
Merchandiser,['merchandiser']
Van-Salesman,"['van', 'salesman']"
Technical Writer,"['technical', 'writer']"
Secretary / office helper,"['secretary', 'office', 'helper']"
Van-Salesman,"['van', 'salesman']"
Diversity Workshop for Journalists,"['diversity', 'workshop', 'journalist']"
Team Reporting Project for Journalists,"['team', 'reporting', 'project', 'journalist']"
Team Reporting Project for Journalists,"['team', 'reporting', 'project', 'journalist']"
Salesmen/ Trade Agents,"['salesman', 'trade', 'agent']"
Van Salesmen/Trade Agents,"['van', 'salesman', 'trade', 'agent']"
Artist - Designer,"['artist', 'designer']"
ADP Managers /RE- ANNOUNCEMENT/,"['adp', 'manager', 'announcement']"
Driver,['driver']
Project Assistant,"['project', 'assistant']"
Web Designer,"['web', 'designer']"
Hi-Tech Seminar on Software Process Improvement and Introduction,"['hi', 'tech', 'seminar', 'software', 'process', 'improvement', 'introduction']"
